sub,sub_name,rank,year,venue,title,doi,in_sub_cites,in_sub_share,spc_out,cited_by,cd5,on_main_path,q1_year
112,Behavior Sensing,1,2014,ubicomp,StudentLife,10.1145/2632048.2632054,86,0.261,1921.0,1130,0.010416666666666666,False,2018
112,Behavior Sensing,2,2015,ubicomp,Trajectories of depression,10.1145/2750858.2805845,54,0.164,1264.5,505,-0.12149532710280374,False,2018
112,Behavior Sensing,3,2018,imwut,Tracking Depression Dynamics in College Students Using Mobile Phone and Wearable Sensing,10.1145/3191775,48,0.146,1257.7,353,-0.2711864406779661,False,2018
112,Behavior Sensing,4,2012,ubicomp,StressSense,10.1145/2370216.2370270,32,0.097,717.8,517,0.32432432432432434,False,2018
112,Behavior Sensing,5,2016,ubicomp,CrossCheck,10.1145/2971648.2971740,32,0.097,859.0,273,-0.08088235294117647,False,2018
113,Stress & Mood Technology,1,2012,chi,Engagement with online mental health interventions,10.1145/2207676.2208602,30,0.1,851.5,213,-0.06666666666666667,False,2018
113,Stress & Mood Technology,2,2018,chi,"“Suddenly, we got to become therapists for each other”",10.1145/3173574.3173905,28,0.094,900.8,133,-0.08133971291866028,False,2018
113,Stress & Mood Technology,3,2018,chi,Pocket Skills,10.1145/3173574.3173972,24,0.08,754.7,168,0.0,False,2018
113,Stress & Mood Technology,4,2018,imwut,Just Breathe,10.1145/3191760,23,0.077,630.4,120,0.00819672131147541,False,2018
113,Stress & Mood Technology,5,2016,ubicomp,EmotionCheck,10.1145/2971648.2971752,22,0.074,622.2,166,0.008547008547008548,False,2018
114,Aging & Dementia Care,1,2015,tochi,An Age-Old Problem,10.1145/2696867,46,0.16,1362.8,456,-0.01487603305785124,False,2016
114,Aging & Dementia Care,2,2013,chi,Older adults as digital content producers,10.1145/2470654.2470662,39,0.136,1180.9,185,0.05421686746987952,False,2016
114,Aging & Dementia Care,3,2014,chi,Never too old,10.1145/2556288.2557184,38,0.132,1169.5,215,-0.0502283105022831,False,2016
114,Aging & Dementia Care,4,2012,chi,"Empathy, participatory design and people with dementia",10.1145/2207676.2207749,37,0.129,1010.6,260,0.1267605633802817,False,2016
114,Aging & Dementia Care,5,2012,chi,"Enabling self, intimacy and a sense of home in dementia",10.1145/2207676.2208654,29,0.101,821.0,105,0.3170731707317073,False,2016
115,Personal Informatics Models,1,2010,chi,A stage-based model of personal informatics systems,10.1145/1753326.1753409,109,0.413,2796.8,1123,-0.005917159763313609,False,2018
115,Personal Informatics Models,2,2015,ubicomp,A lived informatics model of personal informatics,10.1145/2750858.2804250,84,0.318,2475.7,503,-0.14382022471910114,False,2018
115,Personal Informatics Models,3,2014,chi,Personal tracking as lived informatics,10.1145/2556288.2557039,78,0.295,2097.7,659,-0.18532818532818532,False,2018
115,Personal Informatics Models,4,2014,chi,Understanding quantified-selfers' practices in collecting and exploring personal data,10.1145/2556288.2557372,76,0.288,2170.5,774,-0.1485148514851485,False,2018
115,Personal Informatics Models,5,2016,cscw,Boundary Negotiating Artifacts in Personal Informatics,10.1145/2818048.2819926,55,0.208,1700.2,234,-0.07455012853470437,False,2018
116,Clinical Information Work,1,2002,cscw,A finger on the pulse,10.1145/587078.587126,31,0.22,690.2,280,0.2619047619047619,False,2008
116,Clinical Information Work,2,1996,cscw,Documents and professional practice,10.1145/240080.240342,29,0.206,588.5,252,0.06896551724137931,False,2008
116,Clinical Information Work,3,2002,cscw,The parameters of common information spaces:,10.1145/587078.587104,23,0.163,365.9,164,1.0,False,2008
116,Clinical Information Work,4,2006,cscw,AwareMedia,10.1145/1180875.1180892,20,0.142,565.3,164,0.0,False,2008
116,Clinical Information Work,5,2004,cscw,Supporting informality,10.1145/1031607.1031632,16,0.113,282.2,110,-0.07692307692307693,False,2008
117,"Sleep, ADHD & Lifelogging",1,2012,ubicomp,Lullaby,10.1145/2370216.2370253,25,0.117,701.3,219,-0.14583333333333334,False,2015
117,"Sleep, ADHD & Lifelogging",2,2011,chi,Opportunities for computing technologies to support healthy sleep behaviors,10.1145/1978942.1979395,22,0.103,590.4,116,0.0136986301369863,False,2015
117,"Sleep, ADHD & Lifelogging",3,2012,chi,ShutEye,10.1145/2207676.2208600,21,0.099,615.5,125,-0.041884816753926704,False,2015
117,"Sleep, ADHD & Lifelogging",4,2006,ubicomp,SenseCam: A Retrospective Memory Aid,10.1007/11853565_11,19,0.089,198.8,768,1.0,False,2015
117,"Sleep, ADHD & Lifelogging",5,2015,ubicomp,SleepTight,10.1145/2750858.2804266,17,0.08,480.1,160,-0.08108108108108109,False,2015
118,Crowdsourcing & Human Computation,1,2010,uist,Soylent,10.1145/1866029.1866078,92,0.217,2849.3,706,-0.0603448275862069,False,2014
118,Crowdsourcing & Human Computation,2,2008,chi,Crowdsourcing user studies with Mechanical Turk,10.1145/1357054.1357127,75,0.177,1977.8,1970,0.6222222222222222,False,2014
118,Crowdsourcing & Human Computation,3,2011,uist,CrowdForge,10.1145/2047196.2047202,72,0.17,2167.1,307,-0.04597701149425287,False,2014
118,Crowdsourcing & Human Computation,4,2012,cscw,Shepherding the crowd yields better work,10.1145/2145204.2145355,60,0.142,1764.3,337,-0.03663003663003663,False,2014
118,Crowdsourcing & Human Computation,5,2014,cscw,Being a turker,10.1145/2531602.2531663,50,0.118,1630.4,281,-0.18316831683168316,False,2014
119,Explainable Machine Learning,1,2021,pacmhci,To Trust or to Think,10.1145/3449287,109,0.263,3876.7,821,0.13005780346820808,False,2021
119,Explainable Machine Learning,2,2019,chi,Designing Theory-Driven User-Centric Explainable AI,10.1145/3290605.3300831,91,0.219,3134.5,859,-0.05045871559633028,False,2021
119,Explainable Machine Learning,3,2019,chi,Understanding the Effect of Accuracy on Trust in Machine Learning Models,10.1145/3290605.3300509,76,0.183,2087.7,508,0.27225130890052357,False,2021
119,Explainable Machine Learning,4,2021,iui,Are Explanations Helpful? A Comparative Study of the Effects of Explanations in AI-Assiste,10.1145/3397481.3450650,76,0.183,2747.2,298,-0.13793103448275862,False,2021
119,Explainable Machine Learning,5,2009,chi,<i>Why and why not</i> explanations improve the intelligibility of context-aware intellige,10.1145/1518701.1519023,73,0.176,1751.9,547,-0.014925373134328358,False,2021
120,Data Visualization,1,2010,chi,Useful junk?,10.1145/1753326.1753716,36,0.09,239.3,405,1.0,False,2017
120,Data Visualization,2,2010,chi,Crowdsourcing graphical perception,10.1145/1753326.1753357,32,0.08,781.4,817,0.02654867256637168,False,2017
120,Data Visualization,3,2016,chi,When (ish) is My Bus?,10.1145/2858036.2858558,24,0.06,588.3,251,0.2962962962962963,False,2017
120,Data Visualization,4,2015,chi,Understanding Data Videos,10.1145/2702123.2702431,23,0.058,106.0,151,0.08333333333333333,False,2017
120,Data Visualization,5,2015,chi,ISOTYPE Visualization,10.1145/2702123.2702275,22,0.055,492.6,164,-0.11475409836065574,False,2017
121,Fairness & Clinical AI,1,2019,chi,Improving Fairness in Machine Learning Systems,10.1145/3290605.3300830,69,0.231,2335.7,715,-0.052884615384615384,False,2021
121,Fairness & Clinical AI,2,2019,chi,Unremarkable AI,10.1145/3290605.3300468,64,0.214,1448.7,240,0.20512820512820512,False,2021
121,Fairness & Clinical AI,3,2020,chi,"Re-examining Whether, Why, and How Human-AI Interaction Is Uniquely Difficult to Design",10.1145/3313831.3376301,62,0.207,2164.7,589,-0.08333333333333333,False,2021
121,Fairness & Clinical AI,4,2019,pacmhci,"""Hello AI"": Uncovering the Onboarding Needs of Medical Practitioners for Human-AI Collabor",10.1145/3359206,59,0.197,2109.4,583,-0.054570259208731244,False,2021
121,Fairness & Clinical AI,5,2017,chi,UX Design Innovation,10.1145/3025453.3025739,53,0.177,1548.5,388,0.043209876543209874,False,2021
122,Data Work & Infrastructure,1,2011,chi,Homebrew databases,10.1145/1978942.1979078,47,0.16,1119.3,130,-0.07692307692307693,False,2015
122,Data Work & Infrastructure,2,2015,chi,The Politics of Measurement and Action,10.1145/2702123.2702298,41,0.14,1019.5,196,0.1693548387096774,False,2015
122,Data Work & Infrastructure,3,2006,cscw,The human infrastructure of cyberinfrastructure,10.1145/1180875.1180950,39,0.133,987.1,354,0.48,False,2015
122,Data Work & Infrastructure,4,2011,chi,Wrangler,10.1145/1978942.1979444,29,0.099,670.3,581,0.1875,False,2015
122,Data Work & Infrastructure,5,2011,cscw,The value of data,10.1145/1958824.1958906,27,0.092,730.8,106,-0.06451612903225806,False,2015
123,Interactive Machine Learning,1,2003,iui,Interactive machine learning,10.1145/604045.604056,57,0.329,1213.7,609,0.11764705882352941,False,2015
123,Interactive Machine Learning,2,2015,chi,ModelTracker,10.1145/2702123.2702509,26,0.15,667.6,272,0.0,False,2015
123,Interactive Machine Learning,3,2008,chi,CueFlik,10.1145/1357054.1357061,25,0.145,676.4,182,-0.15789473684210525,False,2015
123,Interactive Machine Learning,4,2009,chi,EnsembleMatrix,10.1145/1518701.1518895,23,0.133,607.0,227,0.0,False,2015
123,Interactive Machine Learning,5,2011,chi,Human model evaluation in interactive supervised learning,10.1145/1978942.1978965,18,0.104,484.6,202,-0.0967741935483871,False,2015
124,Peer & Crowd Feedback,1,2006,chi,Getting the right design and the design right,10.1145/1124772.1124960,23,0.183,376.5,208,0.7692307692307693,False,2013
124,Peer & Crowd Feedback,2,2013,tochi,Peer and self assessment in massive online classes,10.1145/2505057,23,0.183,672.2,393,-0.025380710659898477,False,2013
124,Peer & Crowd Feedback,3,2012,cscw,What do you think?,10.1145/2145204.2145252,21,0.167,668.9,65,-0.046413502109704644,False,2013
124,Peer & Crowd Feedback,4,2013,chi,A pilot study of using crowds in the classroom,10.1145/2470654.2470686,21,0.167,652.8,64,-0.01293103448275862,False,2013
124,Peer & Crowd Feedback,5,2011,chi,Review spotlight,10.1145/1978942.1979167,13,0.103,335.0,83,0.045454545454545456,False,2013
125,Computational Notebooks,1,2008,cscw,From individual to collaborative,10.1145/1460563.1460653,10,0.063,271.6,68,-0.07518796992481203,False,2016
125,Computational Notebooks,2,2008,chi,Investigating statistical machine learning as a tool for software development,10.1145/1357054.1357160,7,0.044,183.0,131,0.0,False,2016
125,Computational Notebooks,3,1997,iui,Evaluating the utility and usability of an adaptive hypermedia system,10.1145/238218.238320,5,0.031,9.5,95,1.0,False,2016
125,Computational Notebooks,4,1997,iui,"Direct manipulation for comprehensible, predictable and controllable user interfaces",10.1145/238218.238281,5,0.031,59.3,276,0.19444444444444445,False,2016
125,Computational Notebooks,5,1986,chi,"Visual programming, programming by example, and program visualization: a taxonomy",10.1145/22627.22349,4,0.025,30.4,195,0.75,False,2016
126,Social Media & Mental Health,1,2003,chi,"Unpacking ""privacy"" for a networked world",10.1145/642611.642635,64,0.093,1478.9,967,0.3684210526315789,False,2015
126,Social Media & Mental Health,2,2014,cscw,"""You can't block people offline""",10.1145/2531602.2531672,53,0.077,1648.8,157,0.009708737864077669,False,2015
126,Social Media & Mental Health,3,2011,chi,We're in it together,10.1145/1978942.1979420,52,0.075,1474.6,249,-0.1276595744680851,False,2015
126,Social Media & Mental Health,4,2009,chi,Predicting tie strength with social media,10.1145/1518701.1518736,49,0.071,1409.4,1383,0.37037037037037035,False,2015
126,Social Media & Mental Health,5,2008,chi,"Looking at, looking up or keeping up with people?",10.1145/1357054.1357213,43,0.062,1193.3,1396,0.2413793103448276,False,2015
127,ICTD & Rural Communities,1,2010,chi,Postcolonial computing,10.1145/1753326.1753522,101,0.171,2299.9,763,0.7631578947368421,False,2016
127,ICTD & Rural Communities,2,2010,chi,Intermediated technology use in developing communities,10.1145/1753326.1753718,81,0.137,2123.1,228,0.25806451612903225,False,2016
127,ICTD & Rural Communities,3,2010,chi,Avaaj Otalo,10.1145/1753326.1753434,74,0.125,1570.2,386,0.5185185185185185,False,2016
127,ICTD & Rural Communities,4,2016,chi,The Ins and Outs of HCI for Development,10.1145/2858036.2858081,55,0.093,1636.2,252,-0.07941176470588235,False,2016
127,ICTD & Rural Communities,5,2015,chi,Residual Mobilities,10.1145/2702123.2702573,46,0.078,1411.5,102,-0.0752212389380531,False,2016
128,Wikipedia & Open Source,1,2005,group,Becoming Wikipedian,10.1145/1099203.1099205,77,0.136,1865.2,759,0.07547169811320754,False,2012
128,Wikipedia & Open Source,2,2009,group,"Wikipedians are born, not made",10.1145/1531674.1531682,58,0.102,1548.1,281,-0.07518796992481203,False,2012
128,Wikipedia & Open Source,3,2007,iui,SuggestBot,10.1145/1216295.1216309,57,0.101,1578.4,246,-0.015503875968992248,False,2012
128,Wikipedia & Open Source,4,2007,chi,"He says, she says",10.1145/1240624.1240698,54,0.095,1481.5,573,0.057692307692307696,False,2012
128,Wikipedia & Open Source,5,2008,cscw,Harnessing the wisdom of crowds in wikipedia,10.1145/1460563.1460572,48,0.085,1268.4,680,0.08695652173913043,False,2012
129,Crisis Informatics,1,2010,chi,Microblogging during two natural hazards events,10.1145/1753326.1753486,65,0.122,1723.0,1419,-0.017543859649122806,False,2016
129,Crisis Informatics,2,2011,chi,"""Voluntweeters""",10.1145/1978942.1979102,64,0.12,1658.4,537,0.0,False,2016
129,Crisis Informatics,3,2012,cscw,(How) will the revolution be retweeted?,10.1145/2145204.2145212,50,0.094,1356.4,416,0.058823529411764705,False,2016
129,Crisis Informatics,4,2007,chi,Citizen communications in crisis,10.1145/1240624.1240736,48,0.09,1192.3,491,0.48,False,2016
129,Crisis Informatics,5,2010,cscw,Chatter on the red,10.1145/1718918.1718965,35,0.066,1071.9,444,0.17777777777777778,False,2016
130,Gender & Algorithmic Bias,1,2015,chi,"""I always assumed that I wasn't really that close to [her]""",10.1145/2702123.2702556,60,0.137,1750.9,607,0.46551724137931033,False,2020
130,Gender & Algorithmic Bias,2,2017,chi,"""Algorithms ruin everything""",10.1145/3025453.3025659,60,0.137,1677.5,273,-0.1554054054054054,False,2020
130,Gender & Algorithmic Bias,3,2018,pacmhci,Safe Spaces and Safe Places,10.1145/3274424,59,0.135,1949.9,236,-0.081374321880651,False,2020
130,Gender & Algorithmic Bias,4,2016,chi,"First I ""like"" it, then I hide it",10.1145/2858036.2858494,58,0.133,1599.1,361,-0.10625,False,2020
130,Gender & Algorithmic Bias,5,2018,pacmhci,The Misgendering Machines,10.1145/3274357,52,0.119,1720.2,501,-0.03761061946902655,False,2020
131,Civic Participation,1,2016,dis,Social Justice-Oriented Interaction Design,10.1145/2901790.2901861,65,0.159,1995.7,389,-0.07092198581560284,False,2017
131,Civic Participation,2,2015,cscw,Strangers at the Gate,10.1145/2675133.2675147,61,0.149,1745.8,252,-0.03003003003003003,False,2017
131,Civic Participation,3,2011,tochi,The relationship of action research to human-computer interaction,10.1145/1993060.1993065,45,0.11,1297.3,454,0.20161290322580644,False,2017
131,Civic Participation,4,2015,chi,"HCI, Civic Engagement &amp; Trust",10.1145/2702123.2702255,42,0.103,1122.6,112,0.2875,False,2017
131,Civic Participation,5,2015,cscw,Illegitimate Civic Participation,10.1145/2675133.2675156,42,0.103,1302.0,118,0.0,False,2017
132,Moderation & Online Harassment,1,2019,tochi,Human-Machine Collaboration for Content Regulation,10.1145/3338243,86,0.253,2922.0,286,-0.1307901907356948,False,2020
132,Moderation & Online Harassment,2,2017,cscw,Shaping Pro and Anti-Social Behavior on Twitch Through Moderation and Example-Setting,10.1145/2998181.2998277,82,0.241,1919.1,240,0.08888888888888889,False,2020
132,Moderation & Online Harassment,3,2004,chi,Slash(dot) and burn,10.1145/985692.985761,74,0.218,1018.9,405,0.1956521739130435,False,2020
132,Moderation & Online Harassment,4,2019,pacmhci,Does Transparency in Moderation Really Matter?,10.1145/3359252,74,0.218,2545.6,202,-0.10317460317460317,False,2020
132,Moderation & Online Harassment,5,2017,pacmhci,You Can't Stay Here,10.1145/3134666,73,0.215,2170.2,378,-0.04830917874396135,False,2020
133,Gig Work & Labor,1,2013,chi,Turkopticon,10.1145/2470654.2470742,88,0.262,2531.2,799,0.16382252559726962,False,2018
133,Gig Work & Labor,2,2015,chi,Working with Machines,10.1145/2702123.2702548,88,0.262,2580.8,757,0.016556291390728478,False,2018
133,Gig Work & Labor,3,2016,cscw,Standing Out from the Crowd,10.1145/2818048.2820026,70,0.208,2181.3,225,-0.0875,False,2018
133,Gig Work & Labor,4,2015,chi,The Promise of the Sharing Economy among Disadvantaged Communities,10.1145/2702123.2702189,54,0.161,1757.9,329,0.03614457831325301,False,2018
133,Gig Work & Labor,5,2015,chi,We Are Dynamo,10.1145/2702123.2702508,46,0.137,1375.1,276,-0.09897610921501707,False,2018
134,"Gender, Intimacy & Safety",1,2010,chi,Feminist HCI,10.1145/1753326.1753521,101,0.308,2314.5,1098,0.031446540880503145,False,2020
134,"Gender, Intimacy & Safety",2,2017,chi,Examining Menstrual Tracking to Inform the Design of Personal Informatics Tools,10.1145/3025453.3025635,56,0.171,1816.1,344,-0.07389937106918239,False,2020
134,"Gender, Intimacy & Safety",3,2016,chi,HCI and Intimate Care as an Agenda for Change in Women's Health,10.1145/2858036.2858187,52,0.159,1632.4,162,-0.08,False,2020
134,"Gender, Intimacy & Safety",4,2018,chi,“A Stalker's Paradise”,10.1145/3173574.3174241,50,0.152,1452.2,291,-0.08333333333333333,False,2020
134,"Gender, Intimacy & Safety",5,2016,chi,On Looking at the Vagina through Labella,10.1145/2858036.2858119,49,0.149,1537.9,119,-0.1148936170212766,False,2020
135,Enterprise Social Media & Crowdfunding,1,2008,cscw,Motivations for social networking at work,10.1145/1460563.1460674,35,0.152,947.5,751,0.0,False,2009
135,Enterprise Social Media & Crowdfunding,2,2006,chi,Dogear,10.1145/1124772.1124792,23,0.1,653.1,297,0.5625,False,2009
135,Enterprise Social Media & Crowdfunding,3,2000,cscw,Expertise recommender,10.1145/358916.358994,20,0.087,521.8,428,0.07142857142857142,False,2009
135,Enterprise Social Media & Crowdfunding,4,2005,tochi,Social matching,10.1145/1096737.1096740,19,0.083,591.6,321,-0.017543859649122806,False,2009
135,Enterprise Social Media & Crowdfunding,5,2009,chi,"Make new friends, but keep the old",10.1145/1518701.1518735,17,0.074,412.0,453,-0.010526315789473684,False,2009
136,"Refugees, Hackathons & Crypto",1,2016,chi,Syrian Refugees and Digital Health in Lebanon,10.1145/2858036.2858331,26,0.186,714.3,157,-0.03508771929824561,False,2018
136,"Refugees, Hackathons & Crypto",2,2016,chi,Designing for Transient Use,10.1145/2858036.2858230,25,0.179,655.0,85,0.029914529914529916,False,2018
136,"Refugees, Hackathons & Crypto",3,2018,chi,In a New Land,10.1145/3173574.3174158,23,0.164,676.1,52,-0.05263157894736842,False,2018
136,"Refugees, Hackathons & Crypto",4,2018,tochi,Participatory Design and Participatory Research,10.1145/3145472,21,0.15,580.0,160,-0.05517241379310345,False,2018
136,"Refugees, Hackathons & Crypto",5,2016,idc,Future's Butterflies,10.1145/2930674.2930701,19,0.136,538.5,86,0.11764705882352941,False,2018
